external_id,name,description_html,priority,labels,points
PBI-01,นักศึกษาค้นหาร้านอาหารในมหาวิทยาลัยตามชื่อ,"<p><b>ในฐานะ</b> นักศึกษา <b>ฉันต้องการ</b> ค้นหาร้านตามชื่อ <b>เพื่อ</b> สั่งจากร้านที่ชอบได้เร็ว</p><ul><li>[ ] พิมพ์ 2 ตัวอักษรขึ้นไปแล้วเห็นผลภายใน 1 วินาที</li><li>[ ] ไม่พบร้าน → แสดงข้อความแนะนำ</li></ul>",high,feature,3
PBI-02,ดูเมนูและราคาของร้านที่เลือก,"<p><b>ในฐานะ</b> นักศึกษา <b>ฉันต้องการ</b> เห็นเมนูพร้อมราคา <b>เพื่อ</b> ตัดสินใจก่อนสั่ง</p><ul><li>[ ] เมนูหมดชั่วคราวต้องเป็นสีเทาและกดไม่ได้</li></ul>",high,feature,2
PBI-03,เพิ่มเมนูลงตะกร้าและแก้จำนวน,"<p><b>ในฐานะ</b> นักศึกษา <b>ฉันต้องการ</b> ใส่เมนูลงตะกร้าและปรับจำนวน <b>เพื่อ</b> สั่งหลายอย่างในครั้งเดียว</p><ul><li>[ ] ยอดรวมอัปเดตทันทีเมื่อเปลี่ยนจำนวน</li></ul>",high,feature,3
PBI-04,สั่งอาหารและรับหมายเลขออเดอร์,"<p><b>ในฐานะ</b> นักศึกษา <b>ฉันต้องการ</b> ยืนยันออเดอร์และได้เลขที่ออเดอร์ <b>เพื่อ</b> ใช้อ้างอิงตอนรับอาหาร</p><ul><li>[ ] เลขออเดอร์ไม่ซ้ำ</li><li>[ ] บันทึกเวลาสั่ง</li></ul>",urgent,feature,5
PBI-05,ร้านค้ากดยืนยันรับออเดอร์,"<p><b>ในฐานะ</b> ร้านค้า <b>ฉันต้องการ</b> กดรับ/ปฏิเสธออเดอร์ <b>เพื่อ</b> แจ้งลูกค้าว่ากำลังทำ</p><ul><li>[ ] ปฏิเสธต้องระบุเหตุผล</li></ul>",high,feature,3
PBI-06,ไรเดอร์เห็นรายการออเดอร์ที่พร้อมส่ง,"<p><b>ในฐานะ</b> ไรเดอร์ <b>ฉันต้องการ</b> เห็นออเดอร์ที่ทำเสร็จแล้วใกล้ตัว <b>เพื่อ</b> เลือกรับงาน</p><ul><li>[ ] เรียงตามระยะทาง</li></ul>",medium,feature,5
PBI-07,นักศึกษาติดตามสถานะออเดอร์แบบ realtime,"<p><b>ในฐานะ</b> นักศึกษา <b>ฉันต้องการ</b> เห็นสถานะ รับออเดอร์ → กำลังทำ → กำลังส่ง <b>เพื่อ</b> ไม่ต้องรอหน้าร้าน</p><ul><li>[ ] อัปเดตภายใน 5 วินาทีโดยไม่ต้อง refresh</li></ul>",medium,feature,8
PBI-08,ชำระเงินด้วย PromptPay QR,"<p><b>ในฐานะ</b> นักศึกษา <b>ฉันต้องการ</b> สแกน QR จ่ายเงิน <b>เพื่อ</b> ไม่ต้องพกเงินสด</p><ul><li>[ ] สร้าง QR ตามยอดจริง</li><li>[ ] ตรวจสอบการชำระอัตโนมัติ</li></ul>",medium,feature,8
PBI-09,เขียนเอกสาร API สำหรับทีมร้านค้า,"<p>เอกสาร endpoint รับ/ยืนยันออเดอร์ พร้อมตัวอย่าง curl ให้ทีมร้านค้าเชื่อมระบบ POS ของตนเอง</p><ul><li>[ ] ครบทุก endpoint ที่ร้านค้าใช้</li></ul>",low,docs,2
PBI-10,ย้ายค่า config ออกจากโค้ดไปเป็น environment variable,"<p>ตอนนี้ URL ฐานข้อมูลและ key ฝังอยู่ในโค้ด ต้องย้ายเป็น env (12-factor) ก่อนขึ้น staging</p><ul><li>[ ] ไม่มี secret ใน git</li></ul>",medium,tech-debt,1
